open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-02-27 11:00:00,66604.90000000,66778.68000000,65960.01000000,66126.99000000,1399.59256000,2026-02-27 11:59:59,92832488.59392320,172892,607.87940000,40309538.09829450,0
2026-02-27 12:00:00,66126.99000000,66217.42000000,65734.71000000,65928.01000000,1855.03329000,2026-02-27 12:59:59,122330522.29196980,148952,964.24818000,63592352.46062570,0
2026-02-27 13:00:00,65928.01000000,66344.90000000,65649.34000000,66270.55000000,1278.55317000,2026-02-27 13:59:59,84381366.99394210,173926,646.82095000,42695906.14021710,0
2026-02-27 14:00:00,66270.55000000,66334.87000000,65686.64000000,65887.59000000,1404.23206000,2026-02-27 14:59:59,92690097.84109240,293644,733.61076000,48412822.20683340,0
2026-02-27 15:00:00,65887.59000000,66311.11000000,65845.18000000,66095.40000000,957.11978000,2026-02-27 15:59:59,63243068.11226290,257350,483.46987000,31947647.79789030,0
2026-02-27 16:00:00,66095.40000000,66121.03000000,65462.93000000,65475.21000000,1135.56487000,2026-02-27 16:59:59,74680165.61041400,230480,446.03373000,29336920.97851680,0
2026-02-27 17:00:00,65475.21000000,65765.06000000,65113.72000000,65703.19000000,1265.39709000,2026-02-27 17:59:59,82804750.05166290,238209,701.41209000,45913581.39077770,0
2026-02-27 18:00:00,65703.18000000,65788.07000000,65228.33000000,65314.76000000,623.00837000,2026-02-27 18:59:59,40810449.07201630,151605,309.04405000,20258381.81501380,0
2026-02-27 19:00:00,65314.76000000,65457.35000000,65172.60000000,65392.18000000,851.95591000,2026-02-27 19:59:59,55670464.70396130,117356,449.55886000,29380661.11106060,0
2026-02-27 20:00:00,65392.18000000,65666.66000000,65392.18000000,65594.67000000,444.86468000,2026-02-27 20:59:59,29170190.31225990,110666,220.82377000,14478663.66660550,0
2026-02-27 21:00:00,65594.67000000,65749.94000000,65400.00000000,65527.59000000,282.65640000,2026-02-27 21:59:59,18544264.02149330,80506,136.78752000,8975328.77870780,0
2026-02-27 22:00:00,65527.59000000,65673.33000000,64914.46000000,65637.99000000,713.53490000,2026-02-27 22:59:59,46582991.70859980,104817,294.99813000,19286699.20221380,0
2026-02-27 23:00:00,65638.00000000,65953.20000000,65551.67000000,65872.10000000,326.86120000,2026-02-27 23:59:59,21513885.86323350,67020,185.04361000,12180687.68144870,0
2026-02-28 00:00:00,65872.09000000,66025.52000000,65721.13000000,65942.00000000,334.42449000,2026-02-28 00:59:59,22033745.78002490,67480,168.28229000,11089712.38095460,0
2026-02-28 01:00:00,65942.01000000,65971.93000000,65743.71000000,65770.36000000,267.81274000,2026-02-28 01:59:59,17640879.36607150,71083,152.57004000,10051792.40375070,0
2026-02-28 02:00:00,65770.36000000,66018.85000000,65761.94000000,65961.13000000,204.09288000,2026-02-28 02:59:59,13457284.76514560,56507,112.54049000,7420482.54777210,0
2026-02-28 03:00:00,65961.13000000,65982.34000000,65745.39000000,65797.42000000,239.41397000,2026-02-28 03:59:59,15767725.64733010,63285,97.71246000,6436062.42771300,0
2026-02-28 04:00:00,65797.42000000,65818.44000000,65488.00000000,65663.20000000,311.53682000,2026-02-28 04:59:59,20454833.41431870,79273,107.19896000,7039738.23075530,0
2026-02-28 05:00:00,65663.21000000,65729.65000000,65500.00000000,65591.03000000,300.20395000,2026-02-28 05:59:59,19691152.38274370,69264,102.64567000,6733400.83796700,0
2026-02-28 06:00:00,65591.03000000,65591.04000000,63030.00000000,63216.01000000,3175.19445000,2026-02-28 06:59:59,203699115.89985000,615840,1289.80747000,82713203.08206120,0
2026-02-28 07:00:00,63216.01000000,64327.22000000,63038.00000000,63826.00000000,2127.97927000,2026-02-28 07:59:59,135680221.72360710,416921,1082.02848000,68953873.80752750,0
2026-02-28 08:00:00,63825.99000000,63877.09000000,63411.39000000,63473.28000000,1118.13838000,2026-02-28 08:59:59,71149963.65159050,264171,529.20575000,33679179.55579580,0
2026-02-28 09:00:00,63473.27000000,64005.35000000,63372.10000000,63658.54000000,737.11739000,2026-02-28 09:59:59,46946317.99290250,220795,439.40455000,27997595.41612980,0
2026-02-28 10:00:00,63658.55000000,64053.93000000,63452.64000000,64010.39000000,1633.42712000,2026-02-28 10:59:59,104290889.63534780,197769,878.14376000,56077416.53908250,0
2026-02-28 11:00:00,64010.38000000,64307.44000000,63791.25000000,63844.20000000,1245.63976000,2026-02-28 11:59:59,79810960.20478140,156555,664.42721000,42571700.99377810,0
2026-02-28 12:00:00,63844.20000000,64082.66000000,63827.20000000,64017.19000000,474.84169000,2026-02-28 12:59:59,30383260.39244200,95364,316.81442000,20275237.50988410,0
